;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
1;2;3;4;5;6;7
№ строки;Профили обучения;Число 10–11(12) классов (групп) профильного обучения, ед.;Численность обучающихся в 10–11 (12) классах (группах) профильного обучения (сумма граф 5-7), чел.;в том числе (из гр. 4) обучаются очно;в том числе (из гр. 4) обучаются очно-заочно;в том числе (из гр. 4) обучаются заочно
1;Всего (сумма строк 02–06);774;9981;9841;135;5
2;в том числе:       естественно-научный;146;1233;1231;2;
3;гуманитарный;54;774;773;1;
4;социально-экономический;154;2605;2602;2;1
5;технологический;124;2155;2151;4;
6;универсальный;296;3214;3084;126;4
