;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);63;115;1442;2014
2;в том числе       инженерные;7;9;204;254
3;медицинские;9;10;207;285
4;космические;;;;
5;педагогические;2;30;19;469
6;аграрные;10;22;291;192
7;предпринимательские;;;;
8;кадетские;22;6;506;119
9;IT-классы;2;6;43;106
10;другие;11;32;172;589
