;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
1;2;3;4;5;6;7
№ строки;Профили обучения;Число 10–11(12) классов (групп) профильного обучения, ед.;Численность обучающихся в 10–11 (12) классах (группах) профильного обучения (сумма граф 5-7), чел.;в том числе (из гр. 4) обучаются очно;в том числе (из гр. 4) обучаются очно-заочно;в том числе (из гр. 4) обучаются заочно
1;Всего (сумма строк 02–06);405;7121;6941;180;
2;в том числе:       естественно-научный;54;1000;1000;;
3;гуманитарный;43;947;946;1;
4;социально-экономический;47;1066;1063;3;
5;технологический;89;1869;1866;3;
6;универсальный;172;2239;2066;173;
