;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
1;2;3;4;5;6;7
№ строки;Профили обучения;Число 10–11(12) классов (групп) профильного обучения, ед.;Численность обучающихся в 10–11 (12) классах (группах) профильного обучения (сумма граф 5-7), чел.;в том числе (из гр. 4) обучаются очно;в том числе (из гр. 4) обучаются очно-заочно;в том числе (из гр. 4) обучаются заочно
1;Всего (сумма строк 02, 07–16);88788;1091545;1069659;17650;4236
2;Технологический –  всего (сумма строк 03–06);13873;187115;186679;357;79
3;в том числе:       информационно-технологический;6302;85335;85091;184;60
4;агротехнологический;350;3006;3006;;
5;индустриально-технологический;123;1295;1295;;
6;другие технологические;7098;97479;97287;173;19
7;Физико-математический;2597;33916;33829;64;23
8;Физико-химический;283;2766;2757;9;
9;Химико-биологический;7048;76614;76480;109;25
10;Биолого-географический;117;977;813;90;74
11;Социально-экономический;13682;186410;184622;1549;239
12;Социально-гуманитарный;6476;80319;79308;748;263
13;Филологический;1200;17759;17665;81;13
14;Художественно-эстетический;284;1575;1560;15;
15;Оборонно-спортивный;139;2376;2364;6;6
16;Другие;43089;501718;483582;14622;3514
