;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
№ строки;Наименование профессии по Перечню профессий рабочих, должностей служащих, по которым осуществляется профессиональное обучение, утвержденному приказом Минобрнауки России от 2 июля 2013 г. № 513;Код  профессии (при наличии);"Всего  обучено за период с 20.09 прошлого года по 19.09 текущего года (сумма граф 5 – 10; сумма граф 18-20)";В том числе из числа обучающихся (обучавшихся): за счет бюджетных ассигнований федерального бюджета;В том числе из числа обучающихся (обучавшихся): за счет бюджетных ассигнований бюджета субъекта Российской Федерации;В том числе из числа обучающихся (обучавшихся): за счет бюджетных ассигнований местного бюджета;В том числе из числа обучающихся (обучавшихся): по договорам об оказании платных образовательных услуг за счет средств лиц, зачисляе- мых на обуче- ние (родителей (законных пре- дставителей) несовершенно- летних обучающихся);В том числе из числа обучающихся (обучавшихся): по договорам об оказании платных образовательных услуг за счет средств иных физических лиц;В том числе из числа обучающихся (обучавшихся): по договорам об оказании платных образовательных услуг за счет средств юридических лиц;Из общей численности обученных (из графы 4) девушки;Из общей численности обученных (из графы 4) прошли ускоренное обучение по индивидуальным учебным планам;Из общей численности обученных (из графы 4) лица с ограниченными возможностями здоровья;Из общей численности обученных (из графы 4) из них (из графы 13): инвалиды;Из общей численности обученных (из графы 4) из них (из графы 13): дети-инвалиды;Из общей численности обученных (из графы 4) инвалиды  (кроме учтенных в графе 14);Из общей численности обученных (из графы 4) дети-инвалиды (кроме учтенных в графе 15);Из общей численности обученных (из графы 4) обучались (обучаются) очно;Из общей численности обученных (из графы 4) обучались (обучаются) очно-заочно;Из общей численности обученных (из графы 4) обучались (обучаются) заочно
1;Программы профессиональной подготовки по профессиям рабочих, должностям служащих – всего;;35494;1886;26886;5052;1282;353;35;16559;665;958;162;206;;26;35326;155;13
2;Авербандщик;10003;1;1;;;;;;1;;;;;;;1;;
3;Авиационный механик по приборам и электрооборудованию;10007;15;;;;15;;;;;;;;;;15;;
4;Автоматчик ремизных автоматов;10036;1;1;;;;;;1;;;;;;;1;;
5;Аппаратчик варки утфеля;10114;6;;6;;;;;;;;;;;;6;;
6;Аппаратчик дезодорации;10204;1;1;;;;;;1;;;;;;;1;;
7;Бармен;11176;6;;6;;;;;1;1;;;;;;6;;
8;Водитель вездехода;11447;26;;26;;;;;14;;;;;;;26;;
9;Водитель погрузчика;11453;10;10;;;;;;;;;;;;;10;;
10;Вышивальщица;11583;20;;10;10;;;;19;;10;6;1;;;20;;
11;Вязальщица трикотажных изделий, полотна;11602;7;;1;6;;;;6;;1;;;;;7;;
12;Гончар;11693;9;;9;;;;;7;;;;;;;9;;
13;Горничная;11695;8;;;8;;;;8;;;;;;;8;;
14;Гравер;11736;15;;;15;;;;;;;;;;;15;;
15;Дворник;11786;5;;5;;;;;1;;5;;5;;;5;;
16;Животновод;11949;15;8;;7;;;;11;;;;;;;15;;
17;Закройщик картона, фибры и других материалов;12158;1;1;;;;;;;;;;;;;1;;
18;Запайщик ампул;12196;1;;;1;;;;1;;;;;;;1;;
19;Изготовитель полуфабрикатов из мяса птицы;12397;9;9;;;;;;;;;;;;;9;;
20;Изготовитель художественных изделий из бересты;12476;2;2;;;;;;2;;;;;;;2;;
21;Изготовитель художественных изделий из дерева;12478;25;3;5;17;;;;5;;;;;;;25;;
22;Изготовитель художественных изделий из керамики;12480;13;13;;;;;;9;;;;;;;13;;
23;Изготовитель художественных изделий из металла;12485;3;3;;;;;;;;;;;;;3;;
24;Исполнитель художественно-оформительских работ;12565;144;36;36;72;;;;83;;;;;;;144;;
25;Каменщик;12680;46;;20;26;;;;3;;13;4;1;;;46;;
26;Кассир билетный;12719;2;;2;;;;;2;;;;;;;2;;
27;Классификаторщик шлифпорошков;12774;1;1;;;;;;1;;;;;;;1;;
28;Кондитер;12901;326;26;148;152;;;;249;;13;3;2;;;326;;
29;Контролер станочных и слесарных работ;13063;13;;13;;;;;2;;;;;;;13;;
30;Корректор;13134;107;1;106;;;;;81;48;1;;;;;107;;
31;Косметик;13138;25;15;1;9;;;;25;;;;;;;25;;
32;Кроликовод;13205;22;;22;;;;;8;;;;;;;22;;
33;Кузнец ручной ковки;13227;5;;5;;;;;;;;;;;;5;;
34;Курьер;13247;61;;15;23;23;;;26;;;;;;;61;;
35;Кухонный рабочий;13249;12;;12;;;;;8;1;12;;6;;;12;;
36;Лаборант-микробиолог;13265;581;;581;;;;;404;;1;;;;;581;;
37;Лаборант по физикомеханическим испытаниям;13302;79;;71;8;;;;22;3;;;;;;79;;
38;Лаборант химико-бактериологического анализа;13319;115;;115;;;;;88;;;;;;;115;;
39;Лаборант химического анализа;13321;863;;848;15;;;;559;29;3;;1;;;863;;
40;Лаборант-электроакустик;13322;25;;25;;;;;;;;;;;;25;;
41;Лесовод;13376;12;;12;;;;;5;;;;;;;12;;
42;Маляр;13450;60;3;33;24;;;;22;;36;5;5;;;60;;
43;Машинист парогенераторной установки по закачке пара в нефтяные пласты;13973;1;1;;;;;;;;;;;;;1;;
44;Модельщик архитектурных деталей;14480;26;;26;;;;;10;;;;;;;26;;
45;Модельщик наглядных пособий;14491;1;1;;;;;;;;;;;;;1;;
46;Модистка головных уборов;14504;2;2;;;;;;2;;;;;;;2;;
47;Монтажник радиоэлектронной аппаратуры и приборов;14618;114;;103;11;;;;12;6;;;;;;114;;
48;Монтажник санитарно-технических систем и оборудования;14621;2;2;;;;;;;;2;;1;;;2;;
49;Моторист цементировочного агрегата;14754;4;;4;;;;;;;;;;;;4;;
50;Наборщик на машинах;14803;7;;7;;;;;3;;;;;;;7;;
51;Наладчик станков и манипуляторов с программным управлением;14989;34;;34;;;;;;;;;;;;34;;
52;Наладчик технологического оборудования;14995;146;;146;;;;;46;26;;;;;;146;;
53;Няня;15135;112;81;31;;;;;70;;6;1;1;;;107;5;
54;Облицовщик деталей мебели;15212;1;1;;;;;;1;;;;;;;1;;
55;Облицовщик-мозаичник;15214;8;;8;;;;;8;;;;;;;8;;
56;Облицовщик-плиточник;15220;33;;32;;1;;;;;15;7;2;;;33;;
57;Обработчик рыбы и морепродуктов;15341;7;7;;;;;;;;;;;;;7;;
58;Обработчик справочного и информационного материала;15349;28;;;28;;;;;;;;;;;28;;
59;Обувщик по ремонту обуви;15398;4;;4;;;;;;;4;2;1;;;4;;
60;Оператор автоматических и полуавтоматических линий станков и установок;15474;10;;10;;;;;2;;;;;;;10;;
61;Оператор видеозаписи;15521;1157;;1157;;;;;822;9;4;;;;;1157;;
62;Оператор машинного доения;15699;1;;;1;;;;1;;;;;;;1;;
63;Оператор поста управления стана горячего проката труб;15888;1;1;;;;;;;;;;;;;1;;
64;Оператор рыбокоптильной механизированной линии;16010;1;1;;;;;;;;;;;;;1;;
65;Оператор связи;16019;10;;10;;;;;2;;;;;;;10;;
66;Оператор станков с программным управлением;16045;180;;180;;;;;51;;2;;;;;180;;
67;Оператор формирующей машины;16149;1;1;;;;;;1;;;;;;;1;;
68;Оператор швейного оборудования;16185;19;;19;;;;;18;;19;6;10;;;19;;
69;Оператор электронно-вычислительных и вычислительных машин;16199;4258;99;3592;541;26;;;1462;146;49;;3;;1;4247;8;3
