;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателей;Всего, человек;Из них (из графы 3) имеют образование: Высшее;Из них (из графы 3) имеют образование: из них (графы 4) педагогическое;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень кандидата наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание профессора;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание доцента;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки специалистов среднего звена;Из них (из графы 3) имеют образование: из них  (графы 10) педагогическое;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки квалифициро-ванных рабочих служащих;Из графы 3 имеют квалификационные категории высшую;Из графы 3 имеют квалификационные категории первую;Из графы 3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 40, 41);2103609;1325941;1176079;227;7670;78;782;430368;194639;147635;434141;373516;1770539;
2;в том числе:       руководящие работники – всего;134374;126969;106255;42;1650;17;156;5906;1882;531;25636;14378;113390;
3;из них:             директор;36825;36138;34131;28;806;11;81;347;295;1;8551;4713;28217;
4;заместители директора;88892;82768;66866;7;764;4;65;4209;1271;415;15753;8531;77193;
5;руководитель филиала;1973;1787;1570;;5;;;151;105;6;294;421;1662;
6;педагогические работники – всего (сумма строк 07, 28, 29, 33-39);1319785;1103750;1049495;173;5853;57;592;200649;182240;2139;407322;357547;1178112;1082619.1
7;в том числе:             учителя – всего (сумма строк 08-18, 22-27);1054714;909091;877189;146;4941;44;495;136213;127517;1001;357830;297624;934783;855453.8
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;318206;236348;231649;11;223;2;9;79158;77182;273;106659;94342;316100;271265.3
9;русского языка и литературы;124891;119711;118053;33;948;5;67;4408;4140;42;49405;33352;122164;
10;языка народов России и литературы;15184;13814;13713;;47;;3;1309;1267;5;5555;3764;14564;
11;истории, экономики, права, обществознания;66000;63595;61505;24;815;7;72;1882;1621;24;23721;17653;52536;
12;информатики и ИКТ;27125;25133;22672;7;193;;31;1724;1263;34;9672;7196;19102;
13;физики;30406;29585;28121;16;381;6;63;570;465;8;11144;8046;22892;
14;математики;96869;93236;89892;12;460;5;72;2871;2601;25;33130;27908;89870;
15;химии;22589;22142;21180;6;317;1;36;308;246;6;9302;5585;20939;
16;географии;30372;29138;28229;3;141;2;17;1032;905;7;11525;8526;26766;
17;биологии;31340;30299;29281;10;335;3;23;815;696;9;12394;8212;29368;
18;иностранных языков;115765;110460;106959;15;692;3;59;4498;4183;43;32221;35603;110605;
19;из них:                         английского языка;103763;98360;94548;7;569;2;48;3713;3436;35;27582;30912;99015;
20;немецкого языка;8766;8045;7818;1;53;1;8;566;515;3;2729;3019;8457;
21;французского языка;2193;2161;2118;3;25;;2;19;18;;1010;513;2115;
22;физической культуры;73157;57667;55191;1;101;;13;14617;13614;99;23393;21042;33822;
23;трудового обучения (технологии);40575;30733;27572;1;70;2;4;9059;7122;305;11823;11501;26714;
24;музыки и пения;19406;12995;12108;1;63;;1;6123;5418;29;6537;4734;17999;
25;изобразительного искусства, черчения;14940;11311;10393;;37;;1;3407;3024;37;4880;3729;14005;
26;основ безопасности жизнедеятельности;11388;9838;8495;1;46;;6;1399;1126;23;3054;2825;2924;
27;прочих предметов;16501;13086;12176;5;72;8;18;3033;2644;32;3415;3606;14413;
28;учителя-логопеды;19585;18918;18306;1;46;;6;555;494;2;5785;4661;19467;16423.9
29;учителя-дефектологи;8520;8091;7751;;26;;1;371;346;1;1964;1943;8388;7278.4
30;из них:                   олигофренопедагог;2526;2332;2194;;2;;;134;120;;590;631;2462;2085.5
31;тифлопедагог;230;219;214;;;;;7;6;;100;47;223;212.1
32;сурдопедагог;543;522;499;;4;;;3;3;;270;104;538;429.6
33;социальные педагоги;18943;15533;13491;;39;;4;3120;2482;55;2763;3950;18128;14091
34;педагоги дополнительного образования;24716;18155;14405;5;130;3;16;5573;3994;142;4378;3575;17610;20035.7
35;педагоги-психологи;29957;28579;26593;3;221;1;14;1085;875;18;6163;6117;28791;23134.4
36;воспитатели;100746;59606;53552;4;68;1;12;39026;35306;543;19672;29612;96931;83058.2
37;мастера производственного обучения;764;367;260;;;;;302;142;48;64;131;254;536.8
38;тьюторы;8131;6230;5478;2;37;;3;1701;1430;29;444;845;7622;6754.8
39;другие;53709;39180;32470;12;345;8;41;12703;9654;300;8259;9089;46138;42606.9
40;учебно-вспомогательный персонал;121665;42431;12281;2;63;;9;46481;6031;14111;643;1062;108293;
41;иной персонал;527785;52791;8048;10;104;4;25;177332;4486;130854;540;529;370744;
42;из них:             ассистент (помощник);1434;350;147;;1;;;564;107;208;2;11;1314;1301.9
43;сурдопереводчик;6;3;3;;;;;3;1;;;1;6;6
44;тифлосурдопереводчик;;;;;;;;;;;;;;
45;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;44728;21609;19724;;5;;;20499;18754;213;7967;11629;44393;
46;из них воспитатели;37888;16640;15088;;;;;18696;17073;202;5986;10140;37746;
47;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;4459;4160;3925;;22;;4;175;134;3;1257;1178;3618;
48;из них учителя;4104;3821;3601;;18;;4;142;112;2;1184;1112;3311;
49;персонал, работающий в отдельных классах для             обучающихся с ограниченными возможностями здоровья;53829;42304;39514;2;88;;6;7065;6216;62;12924;13237;40598;
50;из них учителя - всего;38515;30495;28673;1;61;;5;4598;4178;32;9680;9774;27626;
51;из них учителя, осуществляющие деятельность по                    реализации программ начального общего образования;10853;7964;7597;;7;;;1814;1720;3;2667;2652;8377;
52;персонал, получающий надбавки за работу с лицами с             ограниченными возможностями здоровья, находящимися             на совместном обучении;82262;65629;62112;5;156;1;13;9959;9077;60;21749;19735;60891;
53;Из общей численности учителей-дефектологов (строка 29 графа 3) - учителя, имеющие специальное дефектологическое образование;3839;3294;;;;;;;;;;;;
54;Справочно. Код по ОКЕИ: человек – 792  Численность руководителей (из строки 02), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;98878;;;;;;;;;;;;;
55;из них директор;30414;;;;;;;;;;;;;
56;Численность педагогических работников (из строки 06), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;1065065;;;;;;;;;;;;;
57;из них учителя;815280;;;;;;;;;;;;;
58;Кроме того (кроме строки 01), численность медицинских работников (сумма строк 60, 61);8494;;;;;;;;;;;;;
59;из них женщин;7785;;;;;;;;;;;;;
60;в том числе:          врачи всех специальностей;1507;;;;;;;;;;;;;
61;медицинские сестры;6987;;;;;;;;;;;;;
62;Из строки 07 графы 3 численность учителей, использующих в учебном процессе персональные компьютеры;911302;;;;;;;;;;;;;
63;Из строки 06 графы 3 численность педагогических работников, осуществляющих классное руководство;746632;;;;;;;;;;;;;
64;в том числе:       осуществляющих классное руководство в одном классе;697100;;;;;;;;;;;;;
65;осуществляющих классное руководство в двух и более класса;49532;;;;;;;;;;;;;
