;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
10;cлепых;761;8;17;11;11;33;17;14;62;1;;55;7;;16;30;50;9;13;11;7;3;62;3;;58;1;;53;;;34;;;15;45;45;33;37;;;;;;;761;43;681;1;;39
11;Число классов для обучающихся с тяжелыми нарушениями речи, ед.;2005;169;204;212;184;29;185;82;97;3;;88;1;;87;;;76;65;59;59;40;61;;;65;;;59;;;53;2;3;12;50;59;1;;;;;;;;;;;;;
12;В них обучающихся, чел.;21869;1897;2376;2393;2164;287;1911;854;1043;35;;988;4;;943;;;864;740;665;585;460;615;;;649;;;584;;;545;26;29;117;496;598;1;;;;;;;;21736;377;2506;;59;16
13;Число классов для обучающихся с нарушением опорно-двигательного аппарата, ед.;1705;57;60;59;70;9;91;78;98;3;1;92;2;2;88;6;5;68;83;77;79;84;75;1;;61;1;;71;1;;65;;;10;62;62;85;93;;4;;1;1;;;;;;;
14;В них обучающихся, чел.;8356;343;332;360;428;42;484;430;510;43;1;417;21;2;401;60;27;394;402;439;418;416;345;1;;304;1;;335;1;;262;;;74;247;238;267;298;;4;;1;8;;8283;175;5105;;29;232
15;Число классов для обучающихся с задержкой психического развития, ед.;9892;297;392;481;552;81;537;551;582;40;25;534;39;15;546;38;25;964;995;1017;901;1093;19;2;1;16;1;;25;2;;28;;1;24;23;14;12;15;;;;4;;;;;;;;
16;В них обучающихся, чел.;101848;2648;3708;4634;5571;813;4977;5546;6083;379;198;5785;370;100;6059;358;200;9988;10666;11107;9724;12146;88;10;10;76;9;;134;14;;100;;6;233;34;14;30;26;;;;4;;;100921;215;10700;;84;908
17;Число классов для обучающихся с расстройствами аутистического спектра, ед.;920;29;15;16;17;66;164;147;125;13;4;100;10;2;68;4;6;30;20;16;12;6;14;1;;10;;;5;;;2;;1;;6;2;6;3;;;;;;;;;;;;
18;В них обучающихся, чел.;3978;101;40;37;44;356;829;810;575;66;19;427;48;10;233;16;39;103;61;21;23;15;49;1;;16;;;6;;;2;;5;;12;5;6;3;;;;;;;3961;18;3432;;9;534
19;Число классов для обучающихся со сложными дефектами, ед.;230;5;5;5;5;4;15;12;21;;1;15;;1;12;9;11;10;9;11;8;7;11;2;;13;1;;10;;;4;;2;7;6;8;;;;;;;;;;;;;;
20;В них обучающихся, чел.;1127;25;22;23;27;21;78;61;112;;6;83;;5;71;39;41;54;43;49;35;38;47;11;;60;5;;50;;;15;;8;28;32;38;;;;;;;;;1127;20;919;;;316
21;Число классов для обучающихся с иными ограниченными возможностями здоровья (кроме классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями), ед.;974;41;26;38;46;19;49;45;56;14;1;57;14;1;40;25;10;75;61;57;64;69;21;4;;20;1;1;14;;;16;3;1;8;20;10;22;24;;1;;;;;;;;;;
22;В них обучающихся, чел.;7715;340;215;298;341;165;431;374;516;125;7;528;135;11;380;242;65;643;530;512;407;518;101;23;;103;7;6;68;;;84;24;8;74;109;81;121;122;;1;;;;;7104;149;3262;2;141;216
23;Итого классов (сумма строк 01,03, 05, 08, 11, 13, 15, 17, 19, 21);20080;685;790;909;973;400;1185;1014;1286;98;48;1203;96;30;970;282;334;1313;1318;1331;1207;1367;444;32;15;443;20;6;451;15;6;356;15;32;147;362;378;238;243;5;9;3;9;6;6;;;;;;
24;"В них обучающихся  (сумма строк 02, 04, 06, 07, 09, 10, 12, 14, 16, 18, 20, 22; сумма строк 25 - 27)";173363;6252;7586;8714;9533;2827;9534;8625;10692;780;287;10116;752;159;8778;1979;2045;12692;13131;13514;11813;14157;2792;174;102;2814;112;28;2913;88;32;2235;112;186;1112;2184;2434;991;932;34;23;16;24;28;31;171598;1961;44348;3;337;2758
25;в том числе обучаются:       очно;172789;6237;7577;8692;9515;2809;9506;8597;10666;765;287;10079;744;159;8752;1962;2034;12669;13107;13492;11783;14121;2790;169;102;2795;111;28;2897;88;32;2221;111;186;1112;2170;2426;981;907;32;6;;18;26;28;171030;1894;44009;3;335;2722
26;очно-заочно;517;15;9;22;18;17;26;23;22;15;;32;8;;21;17;9;22;21;21;28;33;2;5;;16;1;;14;;;12;1;;;12;8;9;12;2;17;16;6;2;3;511;57;315;;2;28
27;заочно;57;;;;;1;2;5;4;;;5;;;5;;2;1;3;1;2;3;;;;3;;;2;;;2;;;;2;;1;13;;;;;;;57;10;24;;;8
28;из них (из строки 24):       воспитанники (без приходящих учащихся);19374;366;430;454;526;502;1022;803;1458;74;28;1460;86;20;1089;518;610;965;853;948;815;840;774;75;37;793;56;13;840;48;13;628;23;63;287;668;737;205;211;19;;;4;4;9;12169;345;5342;;;212
29;девочки;58741;2052;2541;3053;3318;932;2855;2618;3451;238;100;3365;245;52;2783;759;827;4266;4366;4502;4089;4891;994;70;47;1060;49;15;1075;37;16;858;39;71;432;820;927;429;422;14;16;6;12;17;12;36598;298;9168;2;23;679
30;лица с ограниченными возможностями здоровья;171598;6149;7526;8648;9442;2820;9492;8570;10629;775;277;10048;748;147;8734;1951;2037;12500;12926;13284;11605;13964;2792;174;102;2814;112;28;2913;88;32;2234;112;186;1112;2184;2434;949;904;34;23;16;24;28;31;;;;;;1382
31;из них (из строки 30):             инвалиды;1961;59;59;31;46;11;97;44;44;7;;49;;;21;21;37;42;29;45;31;48;50;;;47;;;47;;;50;1;7;74;82;252;179;373;5;18;16;17;2;20;;;;;;33
32;дети-инвалиды;44348;1144;1046;1090;1163;1649;3426;2963;3855;300;108;3439;290;46;2206;1210;1496;1839;1602;1507;1212;1391;1790;145;74;1778;85;28;1804;59;31;1393;80;140;601;1254;1169;548;335;17;5;;2;20;8;;;;;;1095
33;инвалиды (кроме учтенных в строке 31);3;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
34;дети-инвалиды (кроме учтенных в строке 32);337;4;8;10;9;1;24;26;6;23;;7;18;;4;;1;23;23;25;41;33;;;;;;;;;;;;;;;;29;22;;;;;;;;;;;;
35;дети-сироты и дети, оставшиеся без попечения       родителей;3749;66;94;132;162;32;113;123;175;4;4;180;21;4;205;38;16;309;332;425;418;543;48;1;2;50;1;;57;;;51;5;8;26;40;42;11;9;;1;;1;;;2190;20;270;;;29
36;из них воспитанники (без приходящих учащихся);544;5;5;12;11;8;12;9;28;;;22;;2;33;8;8;34;33;48;59;76;21;;1;21;;;22;;;22;;3;7;15;16;2;1;;;;;;;301;7;74;;;7
37;обучающиеся, имеющие иностранное гражданство;1399;53;76;75;82;10;75;58;68;5;3;99;2;;74;13;7;146;141;160;94;120;4;;;5;;1;6;1;;7;;2;2;4;5;1;;;;;;;;726;2;48;;;13
38;из них имеют 2 и более гражданства;176;6;4;9;12;2;6;4;8;;1;16;;;10;3;;19;16;26;11;18;1;;;;;;2;;;1;;;;1;;;;;;;;;;51;;10;;;
39;обучающиеся лица без гражданства;25;2;9;6;4;;;;;;;;;;;;1;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
