;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;83395;9187;38696;35512;82614;714;67
2;из них:        русский язык;10550;1303;8368;879;10550;;
3;литературное чтение;146;146;;;146;;
4;родной язык и (или) государственный язык       республики Российской Федерации;12;;;12;12;;
5;литературное чтение на родном языке;;;;;;;
6;окружающий мир;54;54;;;54;;
7;математика;36082;4411;13684;17987;35761;314;7
8;изобразительное искусство;964;315;566;83;964;;
9;музыка;777;315;417;45;777;;
10;труд (технология);120;;120;;120;;
11;физическая культура;40;;;40;2;;38
12;литература;4815;;1346;3469;4343;467;5
13;родная литература;4;;;4;4;;
14;иностранный язык;16387;3763;9829;2795;16387;;
15;из них:              английский;14547;3110;8801;2636;14547;;
16;немецкий;465;;331;134;465;;
17;французский;1375;653;697;25;1375;;
18;испанский;;;;;;;
19;другие европейские языки;;;;;;;
20;китайский;;;;;;;
21;другие восточные языки;;;;;;;
22;информатика;10699;;3888;6811;10698;;1
23;история;4647;;537;4110;4255;386;6
24;обществознание;16706;;887;15819;16557;131;18
25;география;968;;1;967;878;69;21
26;физика;6899;;2448;4451;6899;;
27;химия;6566;;2332;4234;6565;1;
28;биология;7393;;2046;5347;7342;51;
29;основы безопасности и защиты Родины;39;;;39;39;;
