;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
1;2;3;4;5;6;7
№ строки;Профили обучения;Число 10–11(12) классов (групп) профильного обучения, ед.;Численность обучающихся в 10–11 (12) классах (группах) профильного обучения (сумма граф 5-7), чел.;в том числе (из гр. 4) обучаются очно;в том числе (из гр. 4) обучаются очно-заочно;в том числе (из гр. 4) обучаются заочно
1;Всего (сумма строк 02–06);3399;35832;34653;1006;173
2;в том числе:       естественно-научный;443;4458;4457;1;
3;гуманитарный;677;6927;6653;273;1
4;социально-экономический;663;8395;8338;40;17
5;технологический;845;8758;8757;;1
6;универсальный;771;7294;6448;692;154
