;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);42;28;434;574
2;в том числе       инженерные;2;4;64;46
3;медицинские;;;;
4;космические;;;;
5;педагогические;;2;;43
6;аграрные;;;;
7;предпринимательские;;;;
8;кадетские;32;;135;
9;IT-классы;;;;
10;другие;8;22;235;485
