;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);156;223;3306;4017
2;в том числе       инженерные;44;33;1172;700
3;медицинские;2;7;57;120
4;космические;;;;
5;педагогические;20;94;374;1379
6;аграрные;3;10;68;140
7;предпринимательские;1;;11;
8;кадетские;23;10;520;219
9;IT-классы;1;5;46;147
10;другие;62;64;1058;1312
