;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
№ строки;Наименование показателей;Всего (сумма граф 4, 6, 8, 10, 12, 14, 16,  18, 20, 22);Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет всего;Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет из них женщины;Число полных лет  по состоянию на 1 января 20_ года 25–29 всего;Число полных лет  по состоянию на 1 января 20_ года 25–29 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 30–34 всего;Число полных лет  по состоянию на 1 января 20_ года 30–34 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 35–39 всего;Число полных лет  по состоянию на 1 января 20_ года 35–39 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 40–44 всего;Число полных лет  по состоянию на 1 января 20_ года 40–44 из них женщины;45–49 всего;45–49 из них женщины;50–54 всего;50–54 из них женщины;55–59 всего;55–59 из них женщины;60–64 всего;60–64 из них женщины;65 и более всего;65 и более из них женщины
1;Численность работников – всего (сумма строк 02, 06, 43,44);45313;2263;1991;2530;2233;3376;2886;4454;3947;4904;4412;5464;4945;6709;6000;5898;5011;5177;4078;4538;3491
2;в том числе:       руководящие работники – всего;3277;13;8;35;26;161;124;337;286;419;374;527;468;720;665;534;476;336;283;195;161
3;из них:             директор;777;;;2;2;22;12;51;35;79;59;109;91;177;163;152;131;103;88;82;68
4;заместители директора;2357;13;8;32;23;133;106;271;237;321;295;383;340;519;478;364;328;214;175;107;87
5;руководитель филиала;43;;;;;;;5;4;2;1;7;7;7;7;8;6;10;10;4;4
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);27902;2021;1833;2200;1960;2539;2193;2912;2606;2958;2716;3194;2992;4092;3821;3343;3059;2606;2364;2037;1785
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);22952;1679;1530;1783;1578;2024;1709;2277;2003;2304;2086;2598;2425;3477;3243;2874;2630;2239;2037;1697;1503
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;7124;828;824;657;648;478;473;546;545;591;590;784;784;1342;1339;1050;1048;587;587;261;259
9;русского языка и литературы;2643;126;121;198;186;172;165;226;222;242;236;336;334;421;417;332;326;301;296;289;288
10;языка народов России и литературы;16;;;;;;;1;1;1;1;4;4;3;3;4;4;2;2;1;1
11;истории, экономики, права, обществознания;1381;88;62;118;87;140;104;142;107;162;136;177;162;189;173;145;126;134;120;86;70
12;информатики;661;38;32;40;28;110;77;117;90;111;87;91;81;74;66;39;30;23;19;18;12
13;физики;644;26;21;37;22;49;32;50;41;41;28;58;51;88;69;96;80;96;78;103;87
14;математики;2112;105;87;128;115;195;176;200;187;196;190;243;232;279;273;288;281;258;254;220;212
15;химии;466;22;21;32;29;31;27;34;33;53;49;49;49;52;48;54;51;75;74;64;60
