;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
1;2;3;4;5;6;7
№ строки;Профили обучения;Число 10–11(12) классов (групп) профильного обучения, ед.;Численность обучающихся в 10–11 (12) классах (группах) профильного обучения (сумма граф 5-7), чел.;в том числе (из гр. 4) обучаются очно;в том числе (из гр. 4) обучаются очно-заочно;в том числе (из гр. 4) обучаются заочно
1;Всего (сумма строк 02–06);876;8785;8431;354;
2;в том числе:       естественно-научный;155;1315;1314;1;
3;гуманитарный;142;1418;1417;1;
4;социально-экономический;167;1864;1864;;
5;технологический;208;2178;2178;;
6;универсальный;204;2010;1658;352;
