;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);36;145;777;1099
2;в том числе       инженерные;1;29;27;174
3;медицинские;2;3;37;50
4;космические;;;;
5;педагогические;6;14;65;146
6;аграрные;4;2;41;17
7;предпринимательские;;1;;5
8;кадетские;11;9;207;165
9;IT-классы;1;1;25;18
10;другие;11;86;375;524
