;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
№ строки;Наименование профессии по Перечню профессий рабочих, должностей служащих, по которым осуществляется профессиональное обучение, утвержденному приказом  Минпросвещения России от 14 июля 2023 г. № 534;Код  профессии (при наличии);"Всего  обучено за период с 20.09 прошлого года по 19.09 текущего года (сумма граф 5 – 10; сумма граф 18-20)";В том числе из числа обучающихся (обучавшихся): за счет бюджетных ассигнований федерального бюджета;В том числе из числа обучающихся (обучавшихся): за счет бюджетных ассигнований бюджета субъекта Российской Федерации;В том числе из числа обучающихся (обучавшихся): за счет бюджетных ассигнований местного бюджета;В том числе из числа обучающихся (обучавшихся): по договорам об оказании платных образовательных услуг за счет средств лиц, зачисляе- мых на обуче- ние (родителей (законных пре- дставителей) несовершенно- летних обучающихся);В том числе из числа обучающихся (обучавшихся): по договорам об оказании платных образовательных услуг за счет средств иных физических лиц;В том числе из числа обучающихся (обучавшихся): по договорам об оказании платных образовательных услуг за счет средств юридических лиц;Из общей численности обученных (из графы 4) девушки;Из общей численности обученных (из графы 4) прошли ускоренное обучение по индивидуаль-ным учебным планам;Из общей численности обученных (из графы 4) лица с ограни-ченными воз-можностями здоровья;Из общей численности обученных (из графы 4) из них (из графы 13): инвалиды;Из общей численности обученных (из графы 4) из них (из графы 13): дети-инвалиды;Из общей численности обученных (из графы 4) инвалиды  (кроме учтенных в графе 14);Из общей численности обученных (из графы 4) дети-инвалиды (кроме учтенных в графе 15);Из общей численности обученных (из графы 4) обучались (обучаются) очно;Из общей численности обученных (из графы 4) обучались (обучаются) очно-заочно;Из общей численности обученных (из графы 4) обучались (обучаются) заочно
1;Программы профессиональной подготовки по профессиям рабочих, должностям служащих – всего;;1627;757;494;187;124;54;11;612;;34;;2;;;1577;50;
2;Водитель автомобиля;11442;448;83;91;163;81;30;;176;;3;;;;;448;;
3;Водитель вездехода;11447;24;;24;;;;;19;;;;;;;24;;
4;Водитель мототранспортных средств;11451;132;124;2;;6;;;46;;;;;;;132;;
5;Газорезчик;11618;1;1;;;;;;;;;;;;;1;;
6;Гончар;11693;4;;4;;;;;4;;;;;;;4;;
7;Животновод;11949;25;17;;8;;;;3;;1;;;;;22;3;
8;Изготовитель художественных изделий из бересты;12476;6;;6;;;;;;;;;;;;6;;
9;Изготовитель художественных изделий из дерева;12478;1;;1;;;;;;;;;;;;1;;
10;Изготовитель художественных изделий из керамики;12480;5;;5;;;;;;;;;;;;5;;
11;Изготовитель художественных изделий из металла;12485;4;;4;;;;;;;;;;;;4;;
12;Исполнитель художественно-оформительских работ;12565;3;;3;;;;;;;;;;;;3;;
13;Кассир торгового зала;12721;29;;27;;2;;;14;;1;;;;;29;;
14;Кондитер;12901;20;15;1;4;;;;1;;;;;;;20;;
15;Кузнец ручной ковки;13227;3;;3;;;;;;;;;;;;3;;
16;Монтажник санитарно-технических систем и оборудования;14621;3;3;;;;;;;;3;;1;;;3;;
17;Няня;15135;24;24;;;;;;24;;1;;;;;24;;
18;Обработчик рыбы;15341;8;8;;;;;;;;;;;;;8;;
19;Овощевод;15415;23;18;5;;;;;4;;;;;;;23;;
20;Оленевод;15460;2;;;2;;;;;;;;;;;2;;
21;Оператор электронно-вычислительных и вычислительных машин;16199;169;107;62;;;;;45;;5;;;;;159;10;
22;Официант;16399;4;;;4;;;;;;;;;;;4;;
23;Парикмахер;16437;34;12;21;;1;;;32;;4;;;;;34;;
24;Повар;16675;58;48;7;3;;;;38;;1;;;;;58;;
25;Помощник воспитателя;16844;16;16;;;;;;16;;2;;;;;16;;
26;Продавец продовольственных товаров;17353;6;;6;;;;;4;;;;;;;6;;
27;Сварщик на электронно-лучевых сварочных установках;18342;10;10;;;;;;;;;;;;;10;;
28;Слесарь-механик электромеханических приборов и систем;18464;5;5;;;;;;4;;1;;;;;5;;
29;Слесарь по ремонту автомобилей;18511;22;4;10;;8;;;1;;1;;;;;22;;
30;Столяр;18874;29;14;15;;;;;;;;;;;;29;;
31;Столяр строительный;18880;3;3;;;;;;;;;;;;;2;1;
32;Тракторист;19203;205;101;89;;4;;11;5;;;;;;;173;32;
33;Тракторист-машинист сельскохозяйственного производства;19205;62;45;;;;17;;10;;;;;;;61;1;
34;Художник по костюму;19523;3;3;;;;;;;;;;;;;;3;
