;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
1;2;3;4;5;6;7
№ строки;Профили обучения;Число 10–11(12) классов (групп) профильного обучения, ед.;Численность обучающихся в 10–11 (12) классах (группах) профильного обучения (сумма граф 5-7), чел.;в том числе (из гр. 4) обучаются очно;в том числе (из гр. 4) обучаются очно-заочно;в том числе (из гр. 4) обучаются заочно
1;Всего (сумма строк 02–06);1784;28077;26994;755;328
2;в том числе:       естественно-научный;119;1563;1563;;
3;гуманитарный;190;3405;3405;;
4;социально-экономический;277;4973;4793;130;50
5;технологический;241;4684;4684;;
6;универсальный;957;13452;12549;625;278
