;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
48;Из общей численности педагогических работников (стр.06):             персонал, работающий в подразделениях (группах)             дошкольного образования;558;23;23;41;39;63;63;92;92;97;97;81;81;66;66;55;55;25;24;15;15
49;из них воспитатели;494;18;18;34;34;54;54;83;83;91;91;72;72;58;58;50;50;21;21;13;13
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;162;4;3;8;6;10;6;13;11;21;19;23;16;22;20;19;19;18;13;24;22
51;из них учителя;144;4;3;5;3;6;4;11;9;17;16;21;15;20;18;19;19;17;12;24;22
;;;;;;;;;;;;;;;;;;;;;;
;;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам;Данные графы 3 по строкам 01–48 равны данным грграфы 3 подраздела 3.1 по соответствующим строкам
;;Должностное лицо, ответственное за предоставление первичных статистических данных (лицо, уполномоченное предоставлять первичные статистические данные от имени юридического лица или от имени гражданина, осуществляющего предпринемательскую деятельность без;Должностное лицо, ответственное за предоставление первичных статистических данных (лицо, уполномоченное предоставлять первичные статистические данные от имени юридического лица или от имени гражданина, осуществляющего предпринемательскую деятельность без;Должностное лицо, ответственное за предоставление первичных статистических данных (лицо, уполномоченное предоставлять первичные статистические данные от имени юридического лица или от имени гражданина, осуществляющего предпринемательскую деятельность без;;;;;;;;;;;;;;;;;;
;;Должностное лицо, ответственное за предоставление первичных статистических данных (лицо, уполномоченное предоставлять первичные статистические данные от имени юридического лица или от имени гражданина, осуществляющего предпринемательскую деятельность без;Должностное лицо, ответственное за предоставление первичных статистических данных (лицо, уполномоченное предоставлять первичные статистические данные от имени юридического лица или от имени гражданина, осуществляющего предпринемательскую деятельность без;Должностное лицо, ответственное за предоставление первичных статистических данных (лицо, уполномоченное предоставлять первичные статистические данные от имени юридического лица или от имени гражданина, осуществляющего предпринемательскую деятельность без;;;;;;;;;;;;;;;;;;
;;образования юридического лица);образования юридического лица);образования юридического лица);;;;;;;;;;;;;;;;;;
;;;;;(должность);(должность);(должность);;(Ф.И.О);(Ф.И.О);(Ф.И.О);(подпись);;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;(номер контактного телефона);(номер контактного телефона);;(e-mail);(e-mail);;(дата составления документа);(дата составления документа);;;;;;;;;;
