;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателей;Численность обучающихся по программам: начального общего образования – всего;Численность обучающихся по программам: из них девочки;Численность обучающихся по программам: из них обучающиеся 1-го класса или 1-го класса первого года обучения по пролонгиро-ванным программам;Численность обучающихся по программам: основного общего образования – всего;Численность обучающихся по программам: из них девочки;Численность обучающихся по программам: из них обучающиеся 5-го класса или 5-го класса первого года обучения по пролонгиро-ванным программам;Численность обучающихся по программам: среднего общего образования – всего;Численность обучающихся по программам: из них девочки;Численность обучающихся по программам: из них обучающиеся 10-го класса или 10-го класса первого года обучения по пролонгиро-ванным программам;Численность обучающихся по программам: образование обучающихся с умственной отсталостью (интеллекту-альными нарушениями);Численность обучающихся по программам: из них девочки;Численность обучающихся по программам: из них обучающиеся первого года обучения
1;Всего;78460;26051;15350;79696;27739;12102;2333;1070;1184;207564;72599;12458
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;11;4;11;;;;;;;5;3;
3;6 лет;429;170;370;;;;;;;114;45;103
4;7 лет;8737;2918;8029;;;;;;;3969;1295;3591
5;8 лет;15436;5121;5594;9;4;7;;;;11512;3826;5947
6;9 лет;18101;6010;1103;30;11;8;;;;15684;5394;1765
7;10 лет;18828;6220;168;463;170;337;;;;19424;6577;375
8;11 лет;11969;3927;41;6367;2235;5466;;;;22436;7827;164
9;12 лет;3790;1274;21;13390;4826;4286;;;;25038;8895;100
10;13 лет;762;247;6;15452;5465;1443;;;;25930;9201;87
11;14 лет;189;75;1;15823;5453;390;2;1;2;25198;8965;59
12;15 лет;82;34;3;15494;5329;88;70;30;57;25257;8711;47
13;16 лет;68;28;3;8478;2740;41;393;201;335;17862;6337;41
14;17 лет;37;16;;2950;1031;15;809;373;470;8464;2917;37
15;18 лет;13;3;;873;322;15;733;336;255;3343;1242;12
16;19 лет;5;3;;258;113;4;251;98;52;1253;468;1
17;20 лет;1;;;79;28;;62;24;7;569;256;4
18;21 год;2;1;;8;3;;6;4;2;262;96;3
19;22 года;;;;6;2;;3;;2;197;87;4
20;23 года;;;;1;1;;;;;130;50;3
21;24 года;;;;2;;;;;;93;35;7
22;25 лет;;;;;;;1;;;76;26;8
23;26 лет;;;;;;;;;;66;26;10
24;27 лет;;;;;;;;;;58;19;6
25;28 лет;;;;1;1;1;;;;78;43;
26;29 лет;;;;1;1;;;;;76;24;7
27;30–34 года;;;;1;;;3;3;2;202;106;19
28;35–39 лет;;;;3;2;1;;;;133;74;17
29;40 лет и старше;;;;7;2;;;;;135;54;41
