;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11
№ строки;Наименование показателей;Численность обучающихся по программам начального общего образования - всего (1–4 классы;Численность обучающихся по программам из них девочки;Численность обучающихся по программам из них обучающиеся 1-х классов без оставленных на повторное обучение;Численность обучающихся по программам основного общего образования - всего (5–9 классы);Численность обучающихся по программам из них девочки;Численность обучающихся по программам из них обучающиеся 5-х классов без оставленных на повторное обучение;Численность обучающихся по программам среднего общего образования - всего (10–11(12) классы;Численность обучающихся по программам из них девочки;Численность обучающихся по программам из них обучающиеся 10-х классов без оставленных на повторное обучение
1;Всего;7191914;3512660;1834923;7743254;3800349;1705217;1352892;731396;686155
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;333;180;243;2;1;;;;
3;6 лет;147255;77925;142039;31;14;26;;;
4;7 лет;1661345;819448;1498360;298;109;208;;;
5;8 лет;1844777;902287;183899;319;157;30;;;
6;9 лет;1749615;855860;8263;2424;1191;1846;;;
7;10 лет;1582113;768214;1367;171340;88597;160344;39;18;34
8;11 лет;186730;81272;308;1529637;758744;1335552;143;81;109
9;12 лет;13881;5212;125;1654713;813962;186991;182;87;44
10;13 лет;2770;1010;56;1561937;765910;15472;398;204;261
11;14 лет;1029;416;50;1435604;706143;3259;2280;1226;1818
12;15 лет;620;250;26;1220674;595572;1001;97187;53694;91635
13;16 лет;444;189;27;148949;63996;244;632577;345481;529402
14;17 лет;388;141;15;13269;4789;123;563786;304852;57303
15;18 лет;169;65;6;2361;831;48;47654;23963;2379
16;19 лет;64;29;7;375;131;15;2003;939;623
17;20 лет;46;29;14;179;58;9;861;290;227
18;21 год;23;10;12;91;30;5;422;66;157
19;22 года;15;6;8;73;21;1;522;51;172
20;23 года;23;9;8;53;5;;444;63;164
21;24 года;21;12;8;62;8;3;438;34;190
22;25 лет;15;5;5;52;8;2;513;40;220
23;26 лет;18;2;6;61;3;;460;32;213
24;27 лет;8;4;5;64;5;4;411;35;182
25;28 лет;10;3;5;57;8;3;469;40;220
26;29 лет;5;2;1;84;7;3;507;42;230
27;30–34 года;70;25;16;283;25;11;913;89;302
28;35–39 лет;58;25;8;128;14;11;369;35;145
29;40 лет и старше;69;30;36;134;10;6;314;34;125
