;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);85;304;1506;3662
2;в том числе       инженерные;6;4;136;46
3;медицинские;13;58;245;657
4;космические;;;;
5;педагогические;30;104;473;1091
6;аграрные;14;70;253;746
7;предпринимательские;;;;
8;кадетские;18;2;224;52
9;IT-классы;;1;;29
10;другие;4;65;175;1041
