;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);33;433;591;5824
2;в том числе       инженерные;;51;;921
3;медицинские;1;38;16;578
4;космические;;;;
5;педагогические;;88;;1333
6;аграрные;;55;;580
7;предпринимательские;;36;;599
8;кадетские;13;10;246;198
9;IT-классы;;1;;15
10;другие;19;154;329;1600
