;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);137;358;3324;4746
2;в том числе       инженерные;46;172;1201;1330
3;медицинские;2;35;50;646
4;космические;;;;
5;педагогические;3;70;75;1015
6;аграрные;16;8;254;110
7;предпринимательские;;2;;21
8;кадетские;18;5;428;117
9;IT-классы;1;10;34;214
10;другие;51;56;1282;1293
