;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
1;2;3;4;5;6;7
№ строки;Профили обучения;Число 10–11(12) классов (групп) профильного обучения, ед.;Численность обучающихся в 10–11 (12) классах (группах) профильного обучения (сумма граф 5-7), чел.;в том числе (из гр. 4) обучаются очно;в том числе (из гр. 4) обучаются очно-заочно;в том числе (из гр. 4) обучаются заочно
1;Всего (сумма строк 02–06);669;5224;5128;41;55
2;в том числе:       естественно-научный;91;560;560;;
3;гуманитарный;88;740;740;;
4;социально-экономический;68;625;625;;
5;технологический;84;699;699;;
6;универсальный;338;2600;2504;41;55
