;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);7;42;178;589
2;в том числе       инженерные;;2;;28
3;медицинские;;3;;36
4;космические;;;;
5;педагогические;1;6;28;86
6;аграрные;1;2;13;9
7;предпринимательские;;1;;10
8;кадетские;;1;;20
9;IT-классы;;;;
10;другие;5;27;137;400
