Таблица;Название таблицы;Название колонки;Название строки;Год;Значение
2.7.1;;Численность обучающихся по программам основного общего образования – всего (5-9 классы);17 лет;2024;19839
2.7.1;;Численность обучающихся по программам основного общего образования – всего (5-9 классы);17 лет;2023;21829
2.7.1;;Численность обучающихся по программам основного общего образования – всего (5-9 классы);17 лет;2022;19839
2.7.1;;Численность обучающихся по программам основного общего образования – всего (5-9 классы);17 лет;2021;18172
