Таблица;Название таблицы;Название колонки;Название строки;Год;Значение
3.1;;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Численность работников – всего (сумма строк 02, 06, 40, 41);2016;387
3.1;;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Численность работников – всего (сумма строк 02, 06, 40, 41);2017;201
3.1;;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Численность работников – всего (сумма строк 02, 06, 40, 41);2018;209
3.1;;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Численность работников – всего (сумма строк 02, 06, 40, 41);2019;244
3.1;;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Численность работников – всего (сумма строк 02, 06, 40, 41);2020;390
3.1;;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;педагогические работники – всего (сумма строк 07, 28, 29, 33-39);2016;283
3.1;;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;педагогические работники – всего (сумма строк 07, 28, 29, 33-39);2017;141
3.1;;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;педагогические работники – всего (сумма строк 07, 28, 29, 33-39);2018;153
3.1;;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;педагогические работники – всего (сумма строк 07, 28, 29, 33-39);2019;183
3.1;;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;педагогические работники – всего (сумма строк 07, 28, 29, 33-39);2020;317
