Таблица;Название таблицы;Название колонки;Название строки;Год;Значение
3.1;;Наименование показателей;учителя – всего (сумма строк 08-18, 22-27);2021;в том числе:             учителя – всего (сумма строк 08-18, 22-27)
3.1;;Наименование показателей;учителя – всего (сумма строк 08-18, 22-27);2022;в том числе:             учителя – всего (сумма строк 08-18, 22-27)
3.1;;Наименование показателей;учителя – всего (сумма строк 08-18, 22-27);2023;в том числе:             учителя – всего (сумма строк 08-18, 22-27)
3.1;;Наименование показателей;учителя – всего (сумма строк 08-18, 22-27);2024;в том числе:             учителя – всего (сумма строк 08-18, 22-27)
3.1;;Всего, человек;учителя – всего (сумма строк 08-18, 22-27);2021;1066173
3.1;;Всего, человек;учителя – всего (сумма строк 08-18, 22-27);2022;1060902
3.1;;Всего, человек;учителя – всего (сумма строк 08-18, 22-27);2023;1054714
3.1;;Всего, человек;учителя – всего (сумма строк 08-18, 22-27);2024;1060902
3.1;;Наименование показателей;учителя, осуществляющие деятельность по реализации программ начального общего образования;2021;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования
3.1;;Наименование показателей;учителя, осуществляющие деятельность по реализации программ начального общего образования;2022;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования
3.1;;Наименование показателей;учителя, осуществляющие деятельность по реализации программ начального общего образования;2023;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования
3.1;;Наименование показателей;учителя, осуществляющие деятельность по реализации программ начального общего образования;2024;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования
3.1;;Наименование показателей;учителя, осуществляющие деятельность по реализации программ начального общего образования;2021;из них учителя, осуществляющие деятельность по                    реализации программ начального общего образования
3.1;;Наименование показателей;учителя, осуществляющие деятельность по реализации программ начального общего образования;2022;из них учителя, осуществляющие деятельность по                    реализации программ начального общего образования
3.1;;Наименование показателей;учителя, осуществляющие деятельность по реализации программ начального общего образования;2023;из них учителя, осуществляющие деятельность по                    реализации программ начального общего образования
3.1;;Наименование показателей;учителя, осуществляющие деятельность по реализации программ начального общего образования;2024;из них учителя, осуществляющие деятельность по                    реализации программ начального общего образования
3.1;;Наименование показателей;учителя-логопеды;2021;учителя-логопеды
3.1;;Наименование показателей;учителя-логопеды;2022;учителя-логопеды
3.1;;Наименование показателей;учителя-логопеды;2023;учителя-логопеды
3.1;;Наименование показателей;учителя-логопеды;2024;учителя-логопеды
3.1;;Наименование показателей;учителя-дефектологи;2021;учителя-дефектологи
3.1;;Наименование показателей;учителя-дефектологи;2022;учителя-дефектологи
3.1;;Наименование показателей;учителя-дефектологи;2023;учителя-дефектологи
3.1;;Наименование показателей;учителя-дефектологи;2024;учителя-дефектологи
3.1;;Наименование показателей;социальные педагоги;2021;социальные педагоги
3.1;;Наименование показателей;социальные педагоги;2022;социальные педагоги
3.1;;Наименование показателей;социальные педагоги;2023;социальные педагоги
3.1;;Наименование показателей;социальные педагоги;2024;социальные педагоги
3.1;;Наименование показателей;педагоги дополнительного образования;2021;педагоги дополнительного образования
3.1;;Наименование показателей;педагоги дополнительного образования;2022;педагоги дополнительного образования
3.1;;Наименование показателей;педагоги дополнительного образования;2023;педагоги дополнительного образования
3.1;;Наименование показателей;педагоги дополнительного образования;2024;педагоги дополнительного образования
3.1;;Наименование показателей;воспитатели;2021;воспитатели
3.1;;Наименование показателей;воспитатели;2022;воспитатели
3.1;;Наименование показателей;воспитатели;2023;воспитатели
3.1;;Наименование показателей;воспитатели;2024;воспитатели
3.1;;Наименование показателей;мастера производственного обучения;2021;мастера производственного обучения
3.1;;Наименование показателей;мастера производственного обучения;2022;мастера производственного обучения
3.1;;Наименование показателей;мастера производственного обучения;2023;мастера производственного обучения
3.1;;Наименование показателей;мастера производственного обучения;2024;мастера производственного обучения
3.1;;Наименование показателей;другие;2021;другие
3.1;;Наименование показателей;другие;2022;другие
3.1;;Наименование показателей;другие;2023;другие
3.1;;Наименование показателей;другие;2024;другие
