Таблица;Название таблицы;Название колонки;Название строки;Год;Значение
2.7.1;;Общая численность обучающихся (сумма граф 4, 7, 10);15 лет;2021;1354068
2.7.1;;Общая численность обучающихся (сумма граф 4, 7, 10);15 лет;2022;1465990
2.7.1;;Общая численность обучающихся (сумма граф 4, 7, 10);15 лет;2023;1561651
2.7.1;;Общая численность обучающихся (сумма граф 4, 7, 10);15 лет;2024;1465990
2.7.1;;Численность обучающихся по программам основного общего образования – всего (5-9 классы);15 лет;2021;1262469
2.7.1;;Численность обучающихся по программам основного общего образования – всего (5-9 классы);15 лет;2022;1371781
2.7.1;;Численность обучающихся по программам основного общего образования – всего (5-9 классы);15 лет;2023;1466912
2.7.1;;Численность обучающихся по программам основного общего образования – всего (5-9 классы);15 лет;2024;1371781
2.7.1;;Численность обучающихся по программам среднего общего образования – всего (10-11(12) классы);15 лет;2021;91051
2.7.1;;Численность обучающихся по программам среднего общего образования – всего (10-11(12) классы);15 лет;2022;93759
2.7.1;;Численность обучающихся по программам среднего общего образования – всего (10-11(12) классы);15 лет;2023;94275
2.7.1;;Численность обучающихся по программам среднего общего образования – всего (10-11(12) классы);15 лет;2024;93759
