;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
№ строки;Наименование показателей;Всего (сумма граф 4, 6, 8, 10, 12, 14, 16,  18, 20, 22);Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет всего;Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет из них женщины;Число полных лет  по состоянию на 1 января 20_ года 25–29 всего;Число полных лет  по состоянию на 1 января 20_ года 25–29 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 30–34 всего;Число полных лет  по состоянию на 1 января 20_ года 30–34 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 35–39 всего;Число полных лет  по состоянию на 1 января 20_ года 35–39 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 40–44 всего;Число полных лет  по состоянию на 1 января 20_ года 40–44 из них женщины;45–49 всего;45–49 из них женщины;50–54 всего;50–54 из них женщины;55–59 всего;55–59 из них женщины;60–64 всего;60–64 из них женщины;65 и более всего;65 и более из них женщины
1;Численность работников – всего (сумма строк 02, 06, 43,44);59846;3403;2927;2704;2310;3628;3028;5896;5128;6712;5934;9108;8175;10289;9076;8617;7188;5740;4448;3749;2716
2;в том числе:       руководящие работники – всего;4610;11;10;103;68;254;181;569;463;720;613;931;819;958;815;589;466;327;245;148;106
3;из них:             директор;1347;;;23;6;56;18;109;50;161;100;247;180;324;221;222;138;144;84;61;35
4;заместители директора;3141;11;10;78;61;188;154;447;399;538;493;660;614;616;580;354;315;168;147;81;65
5;руководитель филиала;4;;;;;;;;;1;;2;2;1;;;;;;;
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);36372;2985;2652;2234;1937;2407;2032;3611;3202;3973;3595;5632;5236;6213;5756;4808;4331;2887;2504;1622;1319
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);31530;2566;2277;1842;1595;1958;1633;2927;2583;3356;3034;5004;4655;5567;5165;4302;3883;2586;2246;1422;1164
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;9426;1077;1067;576;572;464;460;683;680;898;898;1606;1605;1977;1974;1374;1370;591;589;180;179
9;русского языка и литературы;3432;205;196;181;177;213;203;289;272;316;311;445;440;677;672;513;510;349;346;244;234
10;языка народов России и литературы;2906;38;36;43;41;113;109;180;175;343;339;787;779;631;627;458;453;222;220;91;87
11;истории, экономики, права, обществознания;1708;151;98;134;105;134;90;175;134;187;153;267;225;262;226;204;154;133;101;61;49
