;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);418;410;8015;6627
2;в том числе       инженерные;55;76;1363;1450
3;медицинские;23;36;571;681
4;космические;;;;
5;педагогические;98;91;2108;1616
6;аграрные;90;17;1047;106
7;предпринимательские;;1;;13
8;кадетские;75;45;963;376
9;IT-классы;8;12;205;262
10;другие;69;132;1758;2123
