;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);88;258;1947;5143
2;в том числе       инженерные;12;39;312;931
3;медицинские;;25;;567
4;космические;;;;
5;педагогические;2;81;15;1357
6;аграрные;34;17;585;126
7;предпринимательские;5;4;62;68
8;кадетские;5;4;144;57
9;IT-классы;;1;;26
10;другие;30;87;829;2011
