;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);78;515;1488;4779
2;в том числе       инженерные;18;90;402;1636
3;медицинские;14;71;230;985
4;космические;;;;
5;педагогические;10;331;44;1904
6;аграрные;7;17;91;113
7;предпринимательские;;;;
8;кадетские;16;;365;
9;IT-классы;;;;
10;другие;13;6;356;141
