;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
№ строки;Наименование показателей;Всего (сумма граф 4, 6, 8, 10, 12, 14, 16,  18, 20, 22);Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет всего;Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет из них женщины;Число полных лет  по состоянию на 1 января 20_ года 25–29 всего;Число полных лет  по состоянию на 1 января 20_ года 25–29 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 30–34 всего;Число полных лет  по состоянию на 1 января 20_ года 30–34 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 35–39 всего;Число полных лет  по состоянию на 1 января 20_ года 35–39 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 40–44 всего;Число полных лет  по состоянию на 1 января 20_ года 40–44 из них женщины;45–49 всего;45–49 из них женщины;50–54 всего;50–54 из них женщины;55–59 всего;55–59 из них женщины;60–64 всего;60–64 из них женщины;65 и более всего;65 и более из них женщины
1;Численность работников – всего (сумма строк 02, 06, 43,44);44857;2452;2116;2074;1824;3055;2676;4188;3841;5071;4652;6072;5646;6864;6247;6317;5441;4892;3821;3872;2853
2;в том числе:       руководящие работники – всего;2029;1;;24;19;81;51;154;123;280;243;432;402;414;384;305;267;218;183;120;100
3;из них:             директор;621;1;;9;6;18;7;37;21;61;43;104;88;135;120;101;80;92;66;63;49
4;заместители директора;892;;;13;11;48;33;71;60;146;129;202;186;183;170;127;112;73;68;29;26
5;руководитель филиала;5;;;;;;;1;;1;;;;1;1;;;1;;1;
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);27256;2226;1948;1715;1511;2268;1982;2526;2345;3056;2857;3608;3443;4333;4140;3702;3460;2325;2091;1497;1330
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);18098;1666;1425;1210;1043;1450;1221;1347;1207;1778;1621;2224;2097;2914;2768;2631;2448;1740;1549;1138;1023
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;5618;639;632;421;415;427;421;325;324;485;481;658;658;1088;1088;1020;1017;366;366;189;189
9;русского языка и литературы;2106;139;135;120;117;117;115;123;122;194;190;304;301;371;370;310;308;232;227;196;196
10;языка народов России и литературы;4;1;1;;;;;;;;;;;3;3;;;;;;
11;истории, экономики, права, обществознания;1202;121;81;103;68;131;98;80;56;102;80;132;115;177;161;137;126;132;112;87;75
12;информатики;533;65;41;38;26;71;53;63;47;72;58;81;67;65;60;43;39;25;22;10;7
13;физики;565;32;27;18;12;30;19;35;28;44;40;73;67;115;99;81;67;80;66;57;49
14;математики;1801;126;105;90;80;116;100;117;111;141;137;217;209;302;296;267;260;261;251;164;157
15;химии;418;30;24;28;26;30;25;24;24;27;27;39;38;73;69;73;72;53;50;41;40
16;географии;443;18;17;24;21;23;21;36;32;41;36;70;67;105;100;46;40;48;44;32;29
17;биологии;567;36;31;41;36;38;37;49;45;58;54;69;66;83;80;81;76;63;62;49;48
18;иностранных языков;2010;196;180;165;152;219;206;286;278;339;329;267;263;157;155;154;154;144;139;83;80
19;из них:                         английского языка;1899;191;177;152;139;217;204;274;266;331;321;247;243;145;144;140;140;124;119;78;75
20;немецкого языка;74;4;3;9;9;1;1;10;10;7;7;14;14;7;7;9;9;11;11;2;2
21;французского языка;35;1;;3;3;1;1;2;2;1;1;5;5;5;4;5;5;9;9;3;3
22;китайского языка;1;;;1;1;;;;;;;;;;;;;;;;
23;физической культуры;1336;193;96;118;59;153;50;108;55;142;80;122;80;154;101;150;78;127;58;69;34
24;труда (технологии);539;13;6;11;7;29;18;33;25;45;30;81;64;89;74;92;66;88;58;58;39
25;музыки и пения;304;24;22;11;9;23;19;17;17;31;31;38;38;33;32;56;55;42;39;29;26
26;изобразительного искусства, черчения;294;20;18;6;6;16;16;22;21;34;33;34;33;49;47;57;54;27;25;29;28
27;основ безопасности и защиты Родины;143;4;1;9;2;6;3;4;;9;3;12;4;25;8;37;9;21;3;16;
28;основ духовно-нравственной культуры народов России;12;;;2;2;2;2;1;1;;;;;2;2;1;1;3;3;1;1
29;прочих предметов;203;9;8;5;5;19;18;24;21;14;12;27;27;23;23;26;26;28;24;28;25
30;учителя-логопеды;706;41;41;61;61;78;78;112;112;103;103;125;125;112;112;47;47;20;20;7;7
31;учителя-дефектологи;207;15;15;17;17;17;16;34;33;32;32;31;31;28;28;18;18;9;9;6;6
32;из них:                      олигофренопедагог;89;3;3;5;5;7;7;13;13;16;16;18;18;12;12;7;7;4;4;4;4
33;тифлопедагог;8;;;;;;;;;1;1;3;3;1;1;2;2;1;1;;
34;сурдопедагог;15;;;;;1;;7;6;1;1;;;1;1;1;1;2;2;2;2
35;социальные педагоги;68;3;3;2;2;7;7;11;11;6;6;9;9;13;13;5;5;5;5;7;6
36;педагоги дополнительного образования;808;70;48;59;42;72;41;89;69;93;75;91;73;103;78;83;55;78;56;70;45
37;педагоги-психологи;526;26;26;34;32;60;59;88;86;87;87;89;87;74;74;37;36;23;22;8;7
38;воспитатели;4805;277;276;193;193;391;390;604;604;694;693;779;777;785;780;638;635;291;289;153;148
39;мастера производственного обучения;2;1;;;;;;;;;;;;1;;;;;;;
40;тьюторы;38;6;5;3;2;3;3;7;7;6;5;4;4;3;3;1;1;2;2;3;3
41;советники директора по воспитанию и взаимодействию                с детскими общественными объединениям;627;79;76;83;77;105;100;95;93;72;68;64;62;71;70;38;38;16;16;4;3
42;другие;1371;42;33;53;42;85;67;139;123;185;167;192;178;229;214;204;177;141;123;101;82
43;учебно-вспомогательный персонал;4690;127;114;195;189;385;375;709;694;733;712;747;733;633;612;541;522;377;357;243;230
44;иной персонал;10882;98;54;140;105;321;268;799;679;1002;840;1285;1068;1484;1111;1769;1192;1972;1190;2012;1193
45;из них:             ассистент (помощник);1;;;;;;;;;1;1;;;;;;;;;;
46;сурдопереводчик;;;;;;;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (стр.06):             персонал, работающий в подразделениях (группах)             дошкольного образования;5917;301;301;256;254;493;492;777;773;894;893;1013;1012;959;956;735;733;346;345;143;142
49;из них воспитатели;4479;269;269;188;188;381;380;588;588;667;667;753;753;702;702;581;581;251;251;99;99
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;83;3;3;;;2;2;5;5;9;7;13;9;10;9;12;10;11;11;18;16
51;из них учителя;74;3;3;;;2;2;4;4;8;6;12;8;9;8;11;9;11;11;14;12
;;;;;;;;;;;;;;;;;;;;;;
