;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
1;2;3;4;5;6;7
№ строки;Профили обучения;Число 10–11(12) классов (групп) профильного обучения, ед.;Численность обучающихся в 10–11 (12) классах (группах) профильного обучения (сумма граф 5-7), чел.;в том числе (из гр. 4) обучаются очно;в том числе (из гр. 4) обучаются очно-заочно;в том числе (из гр. 4) обучаются заочно
1;Всего (сумма строк 02–06);3989;25710;24730;980;
2;в том числе:       естественно-научный;757;3738;3738;;
3;гуманитарный;730;4915;4220;695;
4;социально-экономический;711;4953;4764;189;
5;технологический;1270;8904;8904;;
6;универсальный;521;3200;3104;96;
