;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);175;1603;4850;34787
2;в том числе       инженерные;39;174;1118;3919
3;медицинские;10;102;280;1900
4;космические;1;5;29;115
5;педагогические;5;273;143;6061
6;аграрные;10;31;155;522
7;предпринимательские;27;591;627;12693
8;кадетские;22;18;570;375
9;IT-классы;11;141;328;3083
10;другие;50;268;1600;6119
