;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);28;111;456;1665
2;в том числе       инженерные;;46;;693
3;медицинские;4;11;43;152
4;космические;1;;32;
5;педагогические;10;29;120;428
6;аграрные;4;4;82;61
7;предпринимательские;;;;
8;кадетские;8;4;170;70
9;IT-классы;1;;9;
10;другие;;17;;261
