;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);97;136;2102;2225
2;в том числе       инженерные;5;17;146;269
3;медицинские;11;28;239;323
4;космические;1;;26;
5;педагогические;21;42;389;718
6;аграрные;7;2;103;18
7;предпринимательские;1;3;30;63
8;кадетские;21;10;512;170
9;IT-классы;5;4;143;77
10;другие;25;30;514;587
