;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);91;432;2310;8828
2;в том числе       инженерные;23;65;708;1576
3;медицинские;4;23;87;516
4;космические;;2;;63
5;педагогические;11;98;210;1840
6;аграрные;8;2;175;6
7;предпринимательские;;28;;50
8;кадетские;1;2;25;28
9;IT-классы;2;27;64;679
10;другие;42;185;1041;4070
