;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателей;Всего, человек;Из них (из гр.3) имеют образование: Высшее;Из них (из гр.3) имеют образование: из них (гр. 4) педагогическое;Из них (из гр.3) имеют образование: Из гр.4 имеют ученую степень доктора наук;Из них (из гр.3) имеют образование: Из гр.4 имеют ученую степень кандидата наук;Из них (из гр.3) имеют образование: Из гр.4 имеют ученое звание профессора;Из них (из гр.3) имеют образование: Из гр.4 имеют ученое звание доцента;Из них (из гр.3) имеют образование: среднее про- фессиональное образование по програмам подготовки специалистов среднего звена;Из них (из гр.3) имеют образование: из них (гр. 10) педагогическое;Из них (из гр.3) имеют образование: среднее про- фессиональное образование по програмам подготовки квалифициро-ванных рабочих служащих;Из гр.3 имеют квалификационные категории высшую;Из гр.3 имеют квалификационные категории первую;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 40, 41);2130446;1326217;1186428;209;7513;78;720;413809;192096;169510;383012;464162;1789863;
2;в том числе:       руководящие работники – всего;146421;135937;114985;54;1814;25;176;8126;2204;1065;26893;21295;124144;
3;из них:             директор;39599;38919;37108;33;873;17;81;377;338;6;8840;6751;29904;
4;заместители директора;96010;87652;72599;7;813;6;77;5745;1524;811;16679;13066;84136;
5;руководитель филиала;1963;1738;1536;;6;;;161;110;14;234;467;1635;
6;педагогические работники - всего (сумма строк 07, 28,29, 33-39);1311927;1100384;1050910;153;5555;52;534;197787;178973;3046;355196;440723;1166481;1124739.34
7;в том числе:             учителя–всего (сумма строк 08-18, 22-27);1067151;926966;896977;107;4741;39;449;132466;123111;1411;318783;372657;941961;909195.72
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;311663;233521;230051;2;177;2;13;75690;74256;280;89126;115806;309670;278623.6
9;русского языка и литературы;124724;121154;120058;26;881;6;65;3195;3021;24;44998;42975;122202;
10;языка народов России и литературы;16484;15079;14972;1;44;;2;1334;1279;4;4933;5926;15727;
11;истории, экономики, права, обществознания;65860;64023;62234;15;789;8;61;1569;1329;34;21683;21373;53161;
12;информатики и ИКТ;28824;27079;24342;3;217;1;28;1549;1198;39;8549;9616;20951;
13;физики;32346;31873;30503;6;355;;57;353;277;13;10912;10800;24750;
14;математики;98194;95875;93418;11;408;6;54;1945;1775;26;31018;35547;92039;
15;химии;24549;24282;23338;7;331;;31;215;154;2;9524;7814;22843;
16;географии;31326;30297;29504;7;132;2;14;907;813;15;10677;11006;27681;
17;биологии;31995;31270;30437;3;335;3;19;607;512;15;12199;10389;30064;
18;иностранных языков;116038;110916;107824;15;647;5;50;4611;4327;43;26900;40473;111452;
19;из них:                         английского языка;100270;95398;92105;11;516;4;32;3710;3451;36;21687;33898;96116;
20;немецкого языка;11996;11153;10875;2;49;1;8;690;633;4;3212;4574;11613;
21;французского языка;3037;2991;2956;;37;;4;21;20;;1299;838;2946;
22;физической культуры;78149;62067;59489;3;103;1;13;15125;14088;199;20380;26788;34720;
23;трудового обучения (технологии);44025;32219;28200;3;68;1;4;10672;7607;541;11065;15002;27688;
24;музыки и пения;20586;13344;12318;1;69;2;5;6928;5998;40;6210;6610;18908;
25;изобразительного искусства, черчения;16171;12044;10965;;40;;4;3898;3332;61;4916;5142;14952;
26;основ безопасности жизнедеятельности;12584;10744;8976;2;56;;12;1630;1247;56;2946;3976;3092;
27;прочих предметов;13633;11179;10348;2;89;2;17;2238;1898;19;2747;3414;12061;
28;учителя-логопеды;14317;13988;13624;8;44;;7;276;245;9;4134;4317;14251;12742.48
29;учителя-дефектологи;4027;3874;3749;;12;;1;139;127;1;1121;938;3964;3752.72
30;из них:                   олигофренопедагог;961;893;852;;3;;;47;47;1;190;282;932;909.9
31;тифлопедагог;202;196;192;;;;;5;4;;70;46;195;310.1
32;сурдопедагог;439;438;436;;1;;;1;1;;247;90;439;545.6
33;социальные педагоги;18193;15182;13435;2;35;;1;2715;2150;63;2243;4752;17336;14380.15
34;педагоги дополнительного образования;22864;16965;12920;7;133;5;12;5116;3375;213;4061;4361;16686;19005.15
35;педагоги-психологи;24963;24200;22611;5;219;;13;584;495;10;4922;6289;23940;20244.81
36;воспитатели;112408;63622;58248;2;56;;8;45727;41879;855;13796;37464;108363;94873.79
37;мастера производственного обучения;1105;514;329;;1;;;433;146;88;95;196;304;1016.4
38;тьюторы;3089;2565;2308;3;19;;1;465;385;16;178;254;2768;2873.95
39;другие;43810;32508;26709;19;295;8;42;9866;7060;380;5863;9495;36908;37385.06
40;учебно-вспомогательный персонал;140637;50485;14076;2;105;1;8;50784;6560;17852;678;1546;124292;
41;иной персонал;531461;39411;6457;;39;;2;157112;4359;147547;245;598;374946;
42;из них:             ассистент (помощник);505;70;23;;;;;175;18;147;;;411;483.5
43;сурдопереводчик;10;3;2;;;;;6;1;;;2;10;46
44;тифлосурдопереводчик;;;;;;;;;;;;;;74.1
45;Из общей численности педагогических работников (стр.06):             персонал, работающий в подразделениях (группах)             дошкольного образования;44891;20171;18547;1;8;;1;21640;19773;365;4701;12917;44487;
46;из них воспитатели;38545;15878;14466;;3;;1;19774;17999;349;3303;11192;38338;
47;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;5659;5239;4991;;19;;2;181;137;7;1312;1924;4737;
48;из них учителя;5245;4881;4635;;17;;2;146;121;7;1212;1780;4367;
49;персонал, работающий в отдельных классах для             обучающихся с ограниченными возможностями здоровья;54726;43577;41145;1;82;;3;7153;6211;100;11551;16987;41603;
50;из них учителя - всего;39776;32554;30940;1;54;;2;4394;3868;57;8768;12515;29106;
51;из них учителя, осуществляющие деятельность по                    реализации программ начального общего образования;9887;7436;7073;;2;;;1614;1532;8;1965;3075;7752;
52;персонал, получающий надбавки за работу с лицами с             ограниченными возможностями здоровья, находящимися             на совместном обучении;63244;49844;47234;;99;1;5;6949;6271;74;12887;18703;45546;
53;Из общей численности учителей-дефектологов (стр.29 гр.3) - учителя, имеющие специальное дефектологическое образование;2609;2417;;;;;;;;;;;;
54;Справка 2. Численность руководителей (из стр.02), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку (чел);95316;;;;;;;;;;;;;
55;из них директор (чел);30257;;;;;;;;;;;;;
56;Численность педагогических работников (из стр.06), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку (чел);954111;;;;;;;;;;;;;
57;из них учителя (чел);731596;;;;;;;;;;;;;
58;Кроме того (кроме стр.01), численность медицинских работников (сумма строк 60,61) (чел);9996;;;;;;;;;;;;;
59;из них женщин (чел);9214;;;;;;;;;;;;;
60;в том числе:          врачи всех специальностей (чел);1926;;;;;;;;;;;;;
61;медицинские сестры (чел);8070;;;;;;;;;;;;;
