;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
№ строки;Наименование показателей;Код по ОКИН;Численность обучающихся во всех классах кроме классов для обучаю-щихся с огра-ниченными возможностями здоровья (сумма граф 5–10);В том числе по программам: начального общего образования 1-й класс;В том числе по программам: начального общего образования 2-й класс;В том числе по программам: начального общего образования 3-й класс;В том числе по программам: начального общего образования 4-й класс;В том числе по программам: основного общего образования (5–9 классы);В том числе по программам: среднего общего образования (10–11(12) классы;Численность обучающихся в классах для обучающихся с ограниченными возможностями здоровья (сумма граф 12–15);В том числе по адаптированным программам начального общего образования;В том числе по адаптированным программам основного общего образования;В том числе по адаптированным программам среднего общего образования;В том числе по адаптированным программам образование обучающихся с умственной отсталостью (интеллекту-альными нарушениями)
120;Мордовский мокша;126;;;;;;;;;;;;
121;Мордовский эрзя;326;;;;;;;;;;;;
122;Манси;899;;;;;;;;;;;;
123;Нанайский;132;;;;;;;;;;;;
124;Ненецкий;136;;;;;;;;;;;;
125;Ногайский;138;;;;;;;;;;;;
126;Немецкий;135;;;;;;;;;;;;
127;Новогреческий;898;;;;;;;;;;;;
128;Нивхский (на двух диалектах);137;;;;;;;;;;;;
129;Осетинский;146;27;;;;;;27;;;;;
130;Польский;150;;;;;;;;;;;;
131;Рутульский;157;;;;;;;;;;;;
132;Саамский;164;;;;;;;;;;;;
133;Селькупский;168;;;;;;;;;;;;
134;Табасаранский;174;;;;;;;;;;;;
135;Татарский;181;490;;;;;107;383;;;;;
136;Татский;185;;;;;;;;;;;;
137;Тофаларский;192;;;;;;;;;;;;
138;Тувинский;196;453;;;;;31;422;;;;;
139;Турецкий;197;;;;;;;;;;;;
140;Туркменский;199;;;;;;;;;;;;
141;Удмуртский;202;2;;;;;2;;;;;;
142;Украинский;206;;;;;;;;;;;;
143;Хакасский;217;;;;;;;;;;;;
144;Хантыйский (на трех диалектах);219;;;;;;;;;;;;
145;Финский;211;;;;;;;;;;;;
146;Чеченский;238;1195;;;;;167;1028;;;;;
147;Черкесский;897;;;;;;;;;;;;
148;Чувашский;243;203;;;;;203;;;;;;
149;Чукотский;244;;;;;;;;;;;;
150;Эвенский;262;;;;;;;;;;;;
151;Эскимосский;265;;;;;;;;;;;;
152;Эвенкийский;261;;;;;;;;;;;;
153;Эстонский;267;;;;;;;;;;;;
154;Юкагирский;271;;;;;;;;;;;;
155;Якутский;275;20;;;;;20;;;;;;
156;Агульский;005;;;;;;;;;;;;
157;Греческий;048;;;;;;;;;;;;
158;Китайский;092;;;;;;;;;;;;
159;Негидальский;134;;;;;;;;;;;;
160;Удэгейский;203;;;;;;;;;;;;
161;Ульчский;207;;;;;;;;;;;;
162;Цахурский;227;;;;;;;;;;;;
163;Шорский;253;;;;;;;;;;;;
164;Энецкий;263;;;;;;;;;;;;
165;Орокский (Уйльта);144;;;;;;;;;;;;
166;Телеутский;186;;;;;;;;;;;;
167;Сойотский;;;;;;;;;;;;;
168;Численность обучающихся, изучающих родной (нерусский) язык факультативно или в кружках;;48;;;;;;;;;;;
