;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателей;Численность обучающихся по программам: начального общего образования – всего;Численность обучающихся по программам: из них девочки;Численность обучающихся по программам: из них обучающиеся 1-го класса или 1-го класса первого года обучения по пролонгиро-ванным программам;Численность обучающихся по программам: основного общего образования – всего;Численность обучающихся по программам: из них девочки;Численность обучающихся по программам: из них обучающиеся 5-го класса или 5-го класса первого года обучения по пролонгиро-ванным программам;Численность обучающихся по программам: среднего общего образования – всего;Численность обучающихся по программам: из них девочки;Численность обучающихся по программам: из них обучающиеся 10-го класса или 10-го класса первого года обучения по пролонгиро-ванным программам;Численность обучающихся по программам: образование обучающихся с умственной отсталостью (интеллекту-альными нарушениями);Численность обучающихся по программам: из них девочки;Численность обучающихся по программам: из них обучающиеся первого года обучения
1;Всего;73994;24798;15674;83059;28937;15008;2308;1090;1145;202817;70542;14031
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;24;10;20;;;;;;;8;3;3
3;6 лет;538;204;504;;;;;;;126;47;98
4;7 лет;8931;3035;8076;;;;;;;4376;1432;3923
5;8 лет;15677;5127;5566;7;1;7;;;;11973;3970;5957
6;9 лет;18429;6164;1110;39;12;11;;;;17114;5822;1892
7;10 лет;18596;6362;244;618;242;477;;;;20650;7175;567
8;11 лет;8801;2882;88;8634;3156;7731;;;;22587;7945;269
9;12 лет;2071;685;24;13963;4884;4900;;;;23042;8137;212
10;13 лет;491;170;16;15784;5449;1367;;;;24646;8594;204
11;14 лет;181;66;7;16576;5587;352;3;2;2;26131;9182;210
12;15 лет;103;42;9;15558;5381;111;69;39;57;24118;8266;191
13;16 лет;79;23;3;8021;2803;27;370;184;313;15637;5482;170
14;17 лет;47;15;3;2724;1005;16;790;386;475;7675;2705;204
15;18 лет;21;11;3;854;322;6;678;298;199;2989;1113;51
16;19 лет;3;1;;198;74;2;297;134;78;978;382;18
17;20 лет;;;;51;15;;83;43;17;333;116;14
18;21 год;;;;17;;;13;2;4;128;43;4
19;22 года;;;;5;1;;4;2;;90;35;10
20;23 года;;;;2;;;1;;;65;31;7
21;24 года;;;;;;;;;;33;13;2
22;25 лет;;;;1;;;;;;23;12;2
23;26 лет;;;;;;;;;;12;4;
24;27 лет;;;;1;1;1;;;;22;7;3
25;28 лет;1;1;;;;;;;;21;8;5
26;29 лет;;;;;;;;;;7;3;2
27;30–34 года;;;;3;2;;;;;12;6;1
28;35–39 лет;1;;1;1;1;;;;;15;5;9
29;40 лет и старше;;;;2;1;;;;;6;4;3
