;;;
;;;
;;;
;;;
;;;
1;2;3;4
№ строки;Профили обучения;Число 10–11(12) классов (групп) профильного обучения, ед.;Численность обучающихся в 10–11 (12) классах (группах) профильного обучения, чел.
1;Всего (сумма строк 02, 07–16);47288;790851
2;Технологический –  всего (сумма строк 03–06);4650;78809
3;в том числе:       информационно-технологический;2551;46109
4;агротехнологический;605;5658
5;индустриально-технологический;79;1268
6;другие технологические;1415;25774
7;Физико-математический;6071;108038
8;Физико-химический;757;12949
9;Химико-биологический;5583;76806
10;Биолого-географический;168;1519
11;Социально-экономический;7444;138431
12;Социально-гуманитарный;6356;113193
13;Филологический;1515;28364
14;Художественно-эстетический;115;2137
15;Оборонно-спортивный;675;9783
16;Другие;13954;220822
