;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11
№ строки;Наименование показателей;Численность обучающихся по программам начального общего образования - всего (1–4 классы;Численность обучающихся по программам из них девочки;Численность обучающихся по программам из них обучающиеся 1-х классов без оставленных на повторное обучение;Численность обучающихся по программам основного общего образования - всего (5–9 классы);Численность обучающихся по программам из них девочки;Численность обучающихся по программам из них обучающиеся 5-х классов без оставленных на повторное обучение;Численность обучающихся по программам среднего общего образования - всего (10–11(12) классы;Численность обучающихся по программам из них девочки;Численность обучающихся по программам из них обучающиеся 10-х классов без оставленных на повторное обучение
1;Всего;727;299;93;25170;6595;666;56962;14169;22605
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;;;;;;;;;
3;6 лет;11;5;11;;;;;;
4;7 лет;48;19;42;;;;;;
5;8 лет;56;22;7;;;;;;
6;9 лет;48;22;2;;;;;;
7;10 лет;43;27;;2;;1;;;
8;11 лет;17;6;;80;32;66;;;
9;12 лет;3;1;;133;43;24;;;
10;13 лет;2;2;;260;84;17;;;
11;14 лет;4;2;;1045;314;11;5;3;5
12;15 лет;1;1;;3992;1333;7;636;314;437
13;16 лет;3;2;;4026;1334;9;3550;1791;2630
14;17 лет;1;1;;2474;869;5;5614;2656;1982
15;18 лет;6;3;;1364;457;10;4131;1896;1043
16;19 лет;7;5;;1077;310;26;3018;1097;1155
17;20 лет;15;4;;924;218;34;3255;724;1322
18;21 год;45;18;2;775;160;30;3150;596;1199
19;22 года;30;16;1;806;126;42;3186;500;1331
20;23 года;33;18;2;758;102;37;3147;428;1287
21;24 года;40;12;3;710;87;29;3107;385;1276
22;25 лет;30;10;4;747;85;27;3053;355;1254
23;26 лет;30;8;3;847;124;31;3125;366;1264
24;27 лет;36;9;2;783;95;34;3027;301;1147
25;28 лет;55;11;4;919;132;35;3030;338;1137
26;29 лет;45;11;3;951;123;42;2906;339;1058
27;30–34 года;59;22;5;1392;274;65;5148;960;1701
28;35–39 лет;21;19;;632;157;36;2260;564;762
29;40 лет и старше;38;23;2;473;136;48;1614;556;615
