;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
1;2;3;4;5;6;7
№ строки;Профили обучения;Число 10–11(12) классов (групп) профильного обучения, ед.;Численность обучающихся в 10–11 (12) классах (группах) профильного обучения (сумма граф 5-7), чел.;в том числе (из гр. 4) обучаются очно;в том числе (из гр. 4) обучаются очно-заочно;в том числе (из гр. 4) обучаются заочно
1;Всего (сумма строк 02–06);765;9352;8778;487;87
2;в том числе:       естественно-научный;121;1110;1090;20;
3;гуманитарный;136;2108;1856;237;15
4;социально-экономический;126;1898;1898;;
5;технологический;157;2388;2388;;
6;универсальный;225;1848;1546;230;72
