;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);191;174;3493;3137
2;в том числе       инженерные;47;53;1054;1022
3;медицинские;22;20;476;299
4;космические;;;;
5;педагогические;60;39;1056;573
6;аграрные;10;2;136;19
7;предпринимательские;1;;29;
8;кадетские;25;2;195;32
9;IT-классы;1;;30;
10;другие;25;58;517;1192
