;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);5;153;122;461
2;в том числе       инженерные;2;1;54;18
3;медицинские;;;;
4;космические;;;;
5;педагогические;;14;;254
6;аграрные;3;;68;
7;предпринимательские;;1;;17
8;кадетские;;;;
9;IT-классы;;;;
10;другие;;137;;172
