;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
1;2;3;4;5;6;7
№ строки;Профили обучения;Число 10–11(12) классов (групп) профильного обучения, ед.;Численность обучающихся в 10–11 (12) классах (группах) профильного обучения (сумма граф 5-7), чел.;в том числе (из гр. 4) обучаются очно;в том числе (из гр. 4) обучаются очно-заочно;в том числе (из гр. 4) обучаются заочно
1;Всего (сумма строк 02–06);2166;25349;24499;565;285
2;в том числе:       естественно-научный;253;2405;2405;;
3;гуманитарный;306;4606;4163;301;142
4;социально-экономический;345;4432;4431;1;
5;технологический;478;5400;5313;87;
6;универсальный;784;8506;8187;176;143
