;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);23;76;273;1120
2;в том числе       инженерные;;19;;128
3;медицинские;2;5;29;102
4;космические;;;;
5;педагогические;12;9;51;122
6;аграрные;;;;
7;предпринимательские;;5;;71
8;кадетские;5;5;102;98
9;IT-классы;1;4;18;76
10;другие;3;29;73;523
