;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);195;347;4209;6682
2;в том числе       инженерные;32;93;765;1982
3;медицинские;3;14;51;213
4;космические;;;;
5;педагогические;19;91;364;1403
6;аграрные;40;9;656;92
7;предпринимательские;;5;;110
8;кадетские;33;16;733;355
9;IT-классы;10;21;180;468
10;другие;58;98;1460;2059
