;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
№ строки;Наименование показателей;Всего (сумма граф 4, 6, 8, 10, 12, 14, 16,  18, 20, 22);Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет всего;Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет из них женщины;Число полных лет  по состоянию на 1 января 20_ года 25–29 всего;Число полных лет  по состоянию на 1 января 20_ года 25–29 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 30–34 всего;Число полных лет  по состоянию на 1 января 20_ года 30–34 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 35–39 всего;Число полных лет  по состоянию на 1 января 20_ года 35–39 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 40–44 всего;Число полных лет  по состоянию на 1 января 20_ года 40–44 из них женщины;45–49 всего;45–49 из них женщины;50–54 всего;50–54 из них женщины;55–59 всего;55–59 из них женщины;60–64 всего;60–64 из них женщины;65 и более всего;65 и более из них женщины
1;Численность работников – всего (сумма строк 02, 06, 43,44);38057;2462;2150;1895;1612;2495;2075;3668;3110;3649;3188;4294;3824;5681;5070;5558;4747;4539;3545;3816;2940
2;в том числе:       руководящие работники – всего;2893;11;9;59;50;145;114;347;284;395;341;499;440;635;580;424;365;248;215;130;101
3;из них:             директор;758;1;1;1;;22;11;57;29;77;47;118;98;198;172;140;114;93;75;51;37
4;заместители директора;1944;10;8;53;47;115;96;269;237;281;257;347;310;407;378;258;226;136;123;68;54
5;руководитель филиала;44;;;2;;5;4;5;3;6;5;4;4;8;8;6;5;6;6;2;1
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);23546;2189;1964;1614;1380;1895;1600;2382;2048;2272;2056;2544;2366;3538;3324;3281;3028;2237;1954;1594;1388
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);19598;1693;1499;1305;1100;1559;1286;1892;1594;1819;1625;2121;1968;3068;2880;2876;2670;1932;1693;1333;1169
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;5992;699;692;424;421;404;402;437;437;501;500;631;630;1210;1209;1031;1031;460;459;195;195
9;русского языка и литературы;2361;156;148;135;126;140;134;168;163;209;204;289;288;398;396;375;374;277;272;214;211
